北京,北京市,116.38,39.92
天津,天津市,117.2,39.13
上海,上海市,121.29,32.14
台湾省,台北市,121.99,24.1
台湾省,台中市,121.5,25.07
台湾省,台南市,121.5,25.07
台湾省,高雄市,121.98,24.1
台湾省,新北市,121.97,24.1
台湾省,桃园市,121.97,24.1
河南省,郑州市,113.4,34.46
河南省,安阳市,114.21,36.06
河南省,鹤壁市,114.11,35.54
河南省,焦作市,113.12,35.14
河南省,济源市,112.35,35.04
河南省,开封市,114.21,34.47
河南省,漯河市,114.02,33.33
河南省,洛阳市,112.27,34.41
河南省,南阳市,112.32,33
河南省,濮阳市,115.01,35.44
河南省,商丘市,115.38,34.26
河南省,新乡市,113.52,35.18
河南省,信阳市,114.04,32.07
河南省,许昌市,113.49,34.01
河南省,周口市,114.38,33.37
河南省,驻马店市,114.01,32.58
河南省,平顶山市,113.17,33.44
河南省,三门峡市,111.12,34.47
河北省,石家庄市,114.3,38.02
河北省,秦皇岛市,119.35,39.55
河北省,张家口市,114.53,40.48
河北省,唐山市,118.11,39.36
河北省,邯郸市,114.28,36.36
河北省,邢台市,114.3,37.04
河北省,保定市,115.3,38.51
河北省,承德市,117.57,40.59
河北省,沧州市,116.52,38.18
河北省,衡水市,115.42,37.44
河北省,廊坊市,116.42,39.31
山西省,太原市,112.33,37.54
山西省,长治市,113.06,36.11
山西省,大同市,113.17,40.06
山西省,运城市,110.59,35.02
山西省,晋城市,112.51,35.3
山西省,临汾市,111.31,36.05
山西省,忻州市,112.43,38.24
山西省,阳泉市,113.34,37.51
山西省,朔州市,112.26,39.19
山西省,晋中市,112.75,37.22
山西省,吕梁市,111.2,37.43
山东省,济南市,117,36.4
山东省,东营市,118.3,37.27
山东省,烟台市,121.24,37.32
山东省,菏泽市,115.26,35.14
山东省,莱芜市,117.4,36.12
山东省,聊城市,115.57,36.26
山东省,青岛市,120.18,36.03
山东省,日照市,119.32,35.23
山东省,潍坊市,119.06,36.43
山东省,威海市,122.07,37.31
山东省,济宁市,116.33,35.23
山东省,枣庄市,117.33,34.52
山东省,淄博市,118.03,36.48
山东省,泰安市,117.08,36.11
山东省,德州市,116.17,37.26
山东省,滨州市,118.02,37.22
山东省,临沂市,118.2,35.03
陕西省,西安市,108.57,34.17
陕西省,安康市,109.01,32.41
陕西省,宝鸡市,107.09,34.22
陕西省,汉中市,107.01,33.04
陕西省,商洛市,109.57,33.52
陕西省,铜川市,109.07,35.06
陕西省,渭南市,109.3,34.3
陕西省,咸阳市,108.43,34.2
陕西省,延安市,109.28,36.35
陕西省,榆林市,109.47,38.18
湖北省,武汉市,114.17,30.35
湖北省,黄石市,115.06,30.12
湖北省,鄂州市,114.52,30.23
湖北省,十堰市,110.47,32.4
湖北省,咸宁市,114.17,29.53
湖北省,孝感市,113.54,30.56
湖北省,荆门市,112.12,31.02
湖北省,宜昌市,111.17,30.42
湖北省,随州市,113.22,31.42
湖北省,襄阳市,112.25,32.23
湖北省,黄冈市,112.24,32.23
湖北省,荆州市,114.89,30.45
湖北省,恩施土家族苗族自治州,109.29,30.16
辽宁省,沈阳市,123.25,41.48
辽宁省,大连市,121.36,38.55
辽宁省,鞍山市,123,41.07
辽宁省,抚顺市,123.54,41.51
辽宁省,本溪市,123.46,41.18
辽宁省,丹东市,124.22,40.08
辽宁省,锦州市,121.09,41.07
辽宁省,营口市,122.13,40.39
辽宁省,阜新市,121.39,42.01
辽宁省,辽阳市,123.12,41.16
辽宁省,盘锦市,122.03,41.07
辽宁省,铁岭市,123.51,42.18
辽宁省,朝阳市,120.27,41.34
辽宁省,葫芦岛市,120.51,40.45
吉林省,长春市,125.19,43.54
吉林省,吉林市,126.33,43.52
吉林省,四平市,124.22,43.1
吉林省,辽源市,125.09,42.54
吉林省,通化市,125.56,41.43
吉林省,白城市,122.5,45.38
吉林省,白山市,126.26,41.56
吉林省,松原市,124.49,45.11
吉林省,公主岭市,124.49,43.31
吉林省,梅河口市,125.4,42.32
吉林省,延边朝鲜族自治州,129.1,43.12
吉林省,吉林省长白山保护开发区,128.91,43.11
黑龙江省,伊春市,128.56,47.42
黑龙江省,大庆市,125.01,46.36
黑龙江省,绥化市,126.59,46.38
黑龙江省,黑河市,127.29,50.14
黑龙江省,鸡西市,130.57,45.17
黑龙江省,鹤岗市,130.16,47.2
黑龙江省,哈尔滨市,126.36,45.44
